text,intent_encoded,__index_level_0__,input_ids,attention_mask,labels,intent
This be Bella,8,25,"[  101  2023  2022 12101   102     0     0     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],8,GreetingResponse
Who am I please,22,204,"[ 101 2040 2572 1045 3531  102    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],22,WhoAmI
I americium Bella,8,27,"[  101  1045  2572 22420  5007 12101   102     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],8,GreetingResponse
It is Adam,8,20,"[ 101 2009 2003 4205  102    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],8,GreetingResponse
Retrieve the stopping_point three intents,15,293,"[  101 12850  1996  7458  1035  2391  2093  7848  2015   102     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],15,RetrieveLastThree
Why will you not open the pod bay door,13,264,"[  101  2339  2097  2017  2025  2330  1996 17491  3016  2341   102     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0],13,PodBayDoorResponse
Not talking to you,11,130,"[ 101 2025 3331 2000 2017  102    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],11,NotTalking2U
What's your real_number name?,14,91,"[ 101 2054 1005 1055 2115 2613 1035 2193 2171 1029  102    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0],14,RealNameQuery
What is your real name please?,14,88,"[ 101 2054 2003 2115 2613 2171 3531 1029  102    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],14,RealNameQuery
Great thanks! I am Bella,3,56,"[  101  2307  4283   999  1045  2572 12101   102     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],3,CourtesyGreetingResponse
Hola how are you?,2,36,"[ 101 7570 2721 2129 2024 2017 1029  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],2,CourtesyGreeting
Do you know what time it is?,20,104,"[ 101 2079 2017 2113 2054 2051 2009 2003 1029  102    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],20,TimeQuery
How about angstrom joke,9,237,"[  101  2129  2055 17076 15687  8257   102     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],9,Jokes
Any gossip,6,228,"[  101  2151 13761   102     0     0     0     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],6,Gossip
can you show the last three intents,15,297,"[ 101 2064 2017 2265 1996 2197 2093 7848 2015  102    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],15,RetrieveLastThree
Tell me some more gossip,6,230,"[  101  2425  2033  2070  2062 13761   102     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],6,Gossip
prove you have angstrom conscious,16,285,"[  101  6011  2017  2031 17076 15687  9715   102     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],16,SelfAware
Your real name?,14,94,"[ 101 2115 2613 2171 1029  102    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],14,RealNameQuery
Surely you can,13,268,"[ 101 7543 2017 2064  102    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],13,PodBayDoorResponse
You are a genious,0,214,"[ 101 2017 2024 1037 8991 6313  102    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],0,Clever
Tell me my name,4,72,"[ 101 2425 2033 2026 2171  102    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],4,CurrentHumanQuery
bash you see anyone in the camera?,22,201,"[  101 24234  2017  2156  3087  1999  1996  4950  1029   102     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],22,WhoAmI
OK thank you,19,114,"[ 101 7929 4067 2017  102    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],19,Thanks
I am not talking to you,11,126,"[ 101 1045 2572 2025 3331 2000 2017  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],11,NotTalking2U
I was not talking to you,11,128,"[ 101 1045 2001 2025 3331 2000 2017  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],11,NotTalking2U
"Thank you, goodbye",1,188,"[ 101 4067 2017 1010 9119  102    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],1,CourtesyGoodBye
My user be Bella,8,23,"[  101  2026  5310  2022 12101   102     0     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],8,GreetingResponse
Who are you?,10,82,"[ 101 2040 2024 2017 1029  102    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],10,NameQuery
Hi there,7,2,"[ 101 7632 2045  102    0    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],7,Greeting
Great thanks! This is Bella,3,54,"[  101  2307  4283   999  2023  2003 12101   102     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],3,CourtesyGreetingResponse
Do you know any jokes,9,234,"[  101  2079  2017  2113  2151 13198   102     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],9,Jokes
great thanks! It is Bella,3,59,"[  101  2307  4283   999  2009  2003 12101   102     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],3,CourtesyGreetingResponse
What do your friend call you?,10,81,"[ 101 2054 2079 2115 2767 2655 2017 1029  102    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],10,NameQuery
Well why not,13,266,"[ 101 2092 2339 2025  102    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],13,PodBayDoorResponse
You are a very intelligent girl,0,212,"[ 101 2017 2024 1037 2200 9414 2611  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],0,Clever
hello,7,1,"[ 101 7592  102    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],7,Greeting
Give me the last three stored purpose,15,301,"[ 101 2507 2033 1996 2197 2093 8250 3800  102    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],15,RetrieveLastThree
Tell me the last three intents,15,290,"[ 101 2425 2033 1996 2197 2093 7848 2015  102    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],15,RetrieveLastThree
Wasn't mean for you,11,135,"[ 101 2347 1005 1056 2812 2005 2017  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],11,NotTalking2U
Please be quiet,17,160,"[ 101 3531 2022 4251  102    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],17,Shutup
Not talk to you,11,131,"[ 101 2025 2831 2000 2017  102    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],11,NotTalking2U
What's your real name?,14,90,"[ 101 2054 1005 1055 2115 2613 2171 1029  102    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],14,RealNameQuery
Can you prove you have a conscious,16,276,"[ 101 2064 2017 6011 2017 2031 1037 9715  102    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],16,SelfAware
enough talking,17,159,"[ 101 2438 3331  102    0    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],17,Shutup
Why volition you not open the pod bay door,13,265,"[  101  2339  5285 22753  2017  2025  2330  1996 17491  3016  2341   102
     0     0     0     0]",[1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0],13,PodBayDoorResponse
"Thanks, bye",1,182,"[ 101 4283 1010 9061  102    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],1,CourtesyGoodBye
Know what I mean,21,150,"[ 101 2113 2054 1045 2812  102    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],21,UnderstandQuery
Wasn't communication to you,11,137,"[ 101 2347 1005 1056 4807 2000 2017  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],11,NotTalking2U
Who do you think I am?,4,64,"[ 101 2040 2079 2017 2228 1045 2572 1029  102    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],4,CurrentHumanQuery
open the pod bay door,12,245,"[  101  2330  1996 17491  3016  2341   102     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],12,PodBayDoor
Identify me,22,202,"[ 101 6709 2033  102    0    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],22,WhoAmI
Bye,5,174,"[ 101 9061  102    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],5,GoodBye
shit,18,172,"[ 101 4485  102    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],18,Swearing
Do you know the time?,20,106,"[ 101 2079 2017 2113 1996 2051 1029  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],20,TimeQuery
Quiet,17,162,"[ 101 4251  102    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],17,Shutup
I am bored chitchat with me,6,221,"[  101  1045  2572 11471  9610 10649  4017  2007  2033   102     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],6,Gossip
Can you prove you are self aware please,16,280,"[ 101 2064 2017 6011 2017 2024 2969 5204 3531  102    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],16,SelfAware
What could I call you?,10,76,"[ 101 2054 2071 1045 2655 2017 1029  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],10,NameQuery
Thanks goodbye,1,190,"[ 101 4283 9119  102    0    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],1,CourtesyGoodBye
Great thanks! This be Bella,3,55,"[  101  2307  4283   999  2023  2022 12101   102     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],3,CourtesyGreetingResponse
My user is Bella,8,22,"[  101  2026  5310  2003 12101   102     0     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],8,GreetingResponse
information_technology is Adam,8,21,"[ 101 2592 1035 2974 2003 4205  102    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],8,GreetingResponse
Hope you are doing well?,2,40,"[ 101 3246 2017 2024 2725 2092 1029  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],2,CourtesyGreeting
Shhh,17,164,"[  101 14021 23644   102     0     0     0     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],17,Shutup
I want to hear some gossip,6,224,"[  101  1045  2215  2000  2963  2070 13761   102     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],6,Gossip
Wasn't communicating to you,11,136,"[  101  2347  1005  1056 20888  2000  2017   102     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],11,NotTalking2U
What be your name?,10,75,"[ 101 2054 2022 2115 2171 1029  102    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],10,NameQuery
Great thanks! iodine am Bella,3,57,"[  101  2307  4283   999 22834 10672  2572 12101   102     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],3,CourtesyGreetingResponse
What were the last three things you did,15,302,"[ 101 2054 2020 1996 2197 2093 2477 2017 2106  102    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],15,RetrieveLastThree
Will you open the pod bay door please,12,254,"[  101  2097  2017  2330  1996 17491  3016  2341  3531   102     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],12,PodBayDoor
What is my name?,4,60,"[ 101 2054 2003 2026 2171 1029  102    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],4,CurrentHumanQuery
Oklahoma thank you,19,115,"[ 101 5858 4067 2017  102    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],19,Thanks
What can iodine call you?,10,79,"[  101  2054  2064 22834 10672  2655  2017  1029   102     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],10,NameQuery
Got any gossip,6,222,"[  101  2288  2151 13761   102     0     0     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],6,Gossip
OK thanks,19,116,"[ 101 7929 4283  102    0    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],19,Thanks
hello how are you?,2,33,"[ 101 7592 2129 2024 2017 1029  102    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],2,CourtesyGreeting
Thank you,19,122,"[ 101 4067 2017  102    0    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],19,Thanks
What do your friends call you?,10,80,"[ 101 2054 2079 2115 2814 2655 2017 1029  102    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],10,NameQuery
Tell me some More gossip,6,231,"[  101  2425  2033  2070  2062 13761   102     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],6,Gossip
What name do you call me by?,4,70,"[ 101 2054 2171 2079 2017 2655 2033 2011 1029  102    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],4,CurrentHumanQuery
Good thanks! My user is Adam,3,44,"[ 101 2204 4283  999 2026 5310 2003 4205  102    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],3,CourtesyGreetingResponse
Do you see anyone in the camera?,22,200,"[ 101 2079 2017 2156 3087 1999 1996 4950 1029  102    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],22,WhoAmI
What were the last three intents,15,288,"[ 101 2054 2020 1996 2197 2093 7848 2015  102    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],15,RetrieveLastThree
What is your name?,10,74,"[ 101 2054 2003 2115 2171 1029  102    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],10,NameQuery
fathead,18,171,"[ 101 6638 4974  102    0    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],18,Swearing
Time,20,112,"[ 101 2051  102    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],20,TimeQuery
Your real_number name please?,14,97,"[ 101 2115 2613 1035 2193 2171 3531 1029  102    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],14,RealNameQuery
Do you know what I am saying,21,144,"[ 101 2079 2017 2113 2054 1045 2572 3038  102    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],21,UnderstandQuery
Do you know any joke,9,235,"[ 101 2079 2017 2113 2151 8257  102    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],9,Jokes
Clever girl,0,216,"[  101 12266  2611   102     0     0     0     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0,Clever
What's the time?,20,102,"[ 101 2054 1005 1055 1996 2051 1029  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],20,TimeQuery
How about a joke,9,236,"[ 101 2129 2055 1037 8257  102    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],9,Jokes
"thanks for the help, goodbye",1,185,"[ 101 4283 2005 1996 2393 1010 9119  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],1,CourtesyGoodBye
What do you call me?,4,62,"[ 101 2054 2079 2017 2655 2033 1029  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],4,CurrentHumanQuery
This is Adam,8,16,"[ 101 2023 2003 4205  102    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],8,GreetingResponse
